company_id,role,risk_bucket,z_label,a_mij,direct,via_prior_z1,via_prior_z2,via_prior_z3,C_logit,C_logit_ref,C_logit_delta,pmz,C_prob
R1 RCM,President,risk_constraint,2,0.2109895497560501,0.0014754155300647823,-0.0374501023438321,-0.08909972289960147,-0.021676802085656182,-0.14675121179902495,-0.1637101111391723,0.016958899340147354,0.101211610902275,0.0015427141147973215
R1 RCM,President,risk_constraint,3,0.2109895497560501,0.12797568011759433,-0.06569584378518262,0.12754746649925042,-0.05352882402895746,0.13629847880270468,0.15204943686222533,-0.015750958059520648,0.2506223639108826,-0.0029581999491628736
R1 RCM,President,risk_external,1,0.363792359828949,-0.3020178005991145,0.1636918464829184,-0.06412787520876154,0.1267479869653283,-0.07570584235962932,-0.057484831101489955,-0.018221011258139366,0.6481660251868423,-0.004155243838233612
R1 RCM,President,risk_external,2,0.363792359828949,0.09690406244738684,-0.059433032840363484,-0.14861147563659222,-0.03653305171631329,-0.14767349774588215,-0.11213118844596738,-0.03554230929991477,0.101211610902275,-0.0032332064203993436
R1 RCM,President,risk_external,3,0.363792359828949,0.205113738151729,-0.10425881364255356,0.2127393508453571,-0.09021493524902194,0.2233793401055106,0.1696160195474567,0.05376332055805391,0.2506223639108826,0.010097331955342818
R1 RCM,SVP,risk_uncertainty,1,0.2756874561309814,0.03867232096129682,0.690092754095108,0.0,-0.0,0.7287650750564048,0.6308742970640113,0.09789077799239343,0.6481660251868423,0.022323681507582994
R1 RCM,SVP,risk_uncertainty,2,0.2756874561309814,-0.01277339920432762,-0.25055802227334134,0.0,0.0,-0.26333142147766897,-0.22795964173603311,-0.035371779741635856,0.101211610902275,-0.0032176937181142232
R1 RCM,SVP,risk_uncertainty,3,0.2756874561309814,-0.02589892175696879,-0.43953473182176095,-0.0,0.0,-0.46543365357872973,-0.402914655327973,-0.06251899825075674,0.2506223639108826,-0.01174174274023372
R1 RCM,SVP,risk_legal,1,0.2606192231178283,0.0391783349227022,0.6469065550331642,0.0,-0.0,0.6860848899558664,0.6654384140693546,0.020646475886511806,0.6481660251868423,0.0047083633555379065
R1 RCM,SVP,risk_legal,2,0.2606192231178283,-0.013175606397224317,-0.23487803061678184,0.0,0.0,-0.24805363701400615,-0.24058891433879806,-0.007464722675208091,0.101211610902275,-0.0006790495540491299
R1 RCM,SVP,risk_legal,3,0.2606192231178283,-0.026002728525477935,-0.412028524416377,-0.0,0.0,-0.4380312529418549,-0.4248494997305514,-0.013181753211303493,0.2506223639108826,-0.0024756755450812407
R1 RCM,SVP,risk_constraint,1,0.25174281001091,0.03364230683451404,0.6150186375040358,0.0,-0.0,0.6486609443385499,0.5834351566404573,0.06522578769809262,0.6481660251868423,0.014874534052294372
R1 RCM,SVP,risk_constraint,2,0.25174281001091,-0.011183055461841769,-0.22330020502290135,0.0,0.0,-0.2344832604847431,-0.2109049095748848,-0.023578350909858298,0.101211610902275,-0.0021448711984610796
R1 RCM,SVP,risk_constraint,3,0.25174281001091,-0.02245925137267217,-0.3917184324811295,-0.0,0.0,-0.41417768385380166,-0.3725302470655679,-0.04164743678823374,0.2506223639108826,-0.007821838197026247
R1 RCM,SVP,risk_external,1,0.2119505107402801,0.03649749453250096,0.5080232519694223,0.0,-0.0,0.5445207465019233,0.724840879567473,-0.18032013306554973,0.6481660251868423,-0.041121434546910134
R1 RCM,SVP,risk_external,2,0.2119505107402801,-0.01274937613843033,-0.18445245298835133,0.0,0.0,-0.19720182912678166,-0.26250597097509504,0.06530414184831337,0.101211610902275,0.005940575467985773
R1 RCM,SVP,risk_external,3,0.2119505107402801,-0.02374811839407087,-0.3235707989810667,-0.0,0.0,-0.3473189173751376,-0.4623349085923727,0.1150159912172351,0.2506223639108826,0.02160124470435527
RAIT Financial Trust,Analyst,risk_uncertainty,1,0.2451672703027725,-0.008906830983254392,0.1263575305639697,-0.044853512503862124,0.09054521955628332,0.1631424066331365,0.1556111555302303,0.0075312511029062,0.543190274966159,0.0018687639810364316
RAIT Financial Trust,Analyst,risk_uncertainty,2,0.2451672703027725,-0.02725009526293088,-0.04587773566607857,-0.1039446053527215,-0.026098191126455592,-0.20317062740818656,-0.19379152700551255,-0.009379100402674007,0.1478040040698024,-0.0011813725451655047
