company_id,risk_bucket,z_label,C_logit
Boardriders,risk_legal,3,-0.06205594384838106
Boardriders,risk_uncertainty,1,0.2065219179425421
Boardriders,risk_uncertainty,2,-0.057655960293247155
Boardriders,risk_uncertainty,3,-0.14886595764930077
BowFlex,risk_constraint,1,0.5605447765807923
BowFlex,risk_constraint,2,-0.806680831689216
BowFlex,risk_constraint,3,0.24613605510840672
BowFlex,risk_external,1,-0.020238762043731984
BowFlex,risk_external,2,-0.6270048669421902
BowFlex,risk_external,3,0.6472436289859036
BowFlex,risk_legal,1,0.5531443918183613
BowFlex,risk_legal,2,-0.903033206692677
BowFlex,risk_legal,3,0.3498888148742987
BowFlex,risk_uncertainty,1,0.76375823676465
BowFlex,risk_uncertainty,2,-0.8535582076628763
BowFlex,risk_uncertainty,3,0.08979997089821096
CDC Corp.,risk_constraint,1,0.9280012676891315
CDC Corp.,risk_constraint,2,-0.55474077648147
CDC Corp.,risk_constraint,3,-0.37326049120767807
CDC Corp.,risk_external,1,0.3122782809427874
CDC Corp.,risk_external,2,-0.5038418069218666
CDC Corp.,risk_external,3,0.19156352597906257
CDC Corp.,risk_legal,1,0.9492584486880571
CDC Corp.,risk_legal,2,-0.6237782475548829
CDC Corp.,risk_legal,3,-0.32548020113319
CDC Corp.,risk_uncertainty,1,1.0793370261226387
CDC Corp.,risk_uncertainty,2,-0.5443300502401267
CDC Corp.,risk_uncertainty,3,-0.5350069758825264
CIRCOR International,risk_constraint,1,0.5930593579012067
CIRCOR International,risk_constraint,2,-0.2399783201437961
CIRCOR International,risk_constraint,3,-0.35308103775742317
CIRCOR International,risk_external,1,0.45501060540991334
CIRCOR International,risk_external,2,-0.35707950424634244
CIRCOR International,risk_external,3,-0.09793110116358172
CIRCOR International,risk_legal,1,0.6033851496807278
CIRCOR International,risk_legal,2,-0.27317100469538724
CIRCOR International,risk_legal,3,-0.33021414498535245
CIRCOR International,risk_uncertainty,1,0.659980693254792
CIRCOR International,risk_uncertainty,2,-0.22939199036797395
CIRCOR International,risk_uncertainty,3,-0.4305887028868284
CWC Energy Services Corp.,risk_constraint,1,0.4698003015001958
CWC Energy Services Corp.,risk_constraint,2,-0.3088576361491834
CWC Energy Services Corp.,risk_constraint,3,-0.1609426653510193
CWC Energy Services Corp.,risk_external,1,0.5340401625486442
