company_id,role,risk_bucket,z_label,a_mij,direct,via_prior_z1,via_prior_z2,via_prior_z3,C_logit,C_logit_ref,C_logit_delta,pmz,C_prob,z_star
Southwestern Energy Co.,Analyst,risk_constraint,2,0.2587817907333374,0.011115136342638023,-0.04790864301705776,-0.11070598222753218,-0.027064121741203068,-0.17456361064315498,-0.15576822657391476,-0.018795384069240223,0.6855725847269878,-0.0040515859139655,2
Southwestern Energy Co.,Analyst,risk_legal,2,0.2750632464885711,0.03449874360063131,-0.05047704087981661,-0.11762468937447952,-0.02859085701966909,-0.16219384367333392,-0.15046110976681304,-0.011732733906520881,0.6855725847269878,-0.002529141157895317,2
Southwestern Energy Co.,Operator,risk_constraint,2,0.249069944024086,0.14305408536230746,0.014653118875108135,-0.015508916481066427,-0.026954737812587615,0.11524354994376157,0.10417670186909583,0.011066848074665736,0.6855725847269878,0.0023856009329807984,2
Southwestern Energy Co.,Operator,risk_external,2,0.265597254037857,0.07064710926377449,0.016706937946658593,-0.010755172429201673,-0.03049423301596776,0.046104641765263646,0.05222802396301348,-0.006123382197749834,0.6855725847269878,-0.0013199735087527382,2
Southwestern Energy Co.,Analyst,risk_uncertainty,2,0.2411320060491562,-0.026801579703793047,-0.0451226235071776,-0.10223375728634586,-0.025668635021325513,-0.19982659551864204,-0.19379152700551255,-0.006035068513129488,0.6855725847269878,-0.0013009363622225024,2
Southwestern Energy Co.,Operator,risk_uncertainty,2,0.2382626384496688,0.15835246756099175,0.014162738458984699,-0.014937752977616906,-0.025675336286231667,0.13190211675612787,0.1271844921800166,0.004717624576111273,0.6855725847269878,0.001016944437503189,2
Southwestern Energy Co.,Operator,risk_legal,2,0.2470701783895492,0.12776832638514685,0.014817691656226603,-0.01508181139600048,-0.02671347515972805,0.10079073148564491,0.09963407133920825,0.0011566601464366583,0.6855725847269878,0.00024933291808691807,2
Sovra,CEO,risk_uncertainty,1,0.2163325995206833,0.2077190201735129,0.06877724975122781,-0.023063588693595365,0.099186537362904,0.3526192185940494,0.4013864094854749,-0.048767190891425505,0.2285650478708665,-0.00859878065537596,1
Sovra,CEO,risk_external,1,0.3243620097637176,0.04752752582189992,0.09199497516930331,-0.03182416725809206,0.15002798240102228,0.25772631613413344,0.21358401418177855,0.044142301952354884,0.2285650478708665,0.007783306054202348,1
Sovra,CEO,risk_legal,1,0.2295085787773132,0.21497051735697068,0.0722395428781298,-0.024704302139077677,0.10360153685321258,0.36610729494923544,0.3937619059121222,-0.02765461096288674,0.2285650478708665,-0.00487614581510433,1
