company_id,role,z_label,C_logit
CDC Corp.,Analyst,2,-0.7616878800581837
CDC Corp.,Analyst,3,0.1680979914385546
CDC Corp.,CEO,1,1.4055049793674954
CDC Corp.,CEO,2,-0.7350856062532464
CDC Corp.,CEO,3,-0.6704193731142658
CDC Corp.,CFO,1,0.8630212809892885
CDC Corp.,CFO,2,-0.437009280483637
CDC Corp.,CFO,3,-0.4260120005056601
CDC Corp.,IR,1,0.15810993623987407
CDC Corp.,IR,2,-0.6768314523172516
CDC Corp.,IR,3,0.5187215160773684
CDC Corp.,Operator,1,0.24864893822633466
CDC Corp.,Operator,2,0.3839233379139725
CDC Corp.,Operator,3,-0.632572276140329
CIRCOR International,Analyst,1,0.6064180618775664
CIRCOR International,Analyst,2,-0.7703350840491457
CIRCOR International,Analyst,3,0.16391702217157236
CIRCOR International,CEO,1,1.4572871624135386
CIRCOR International,CEO,2,-0.7170660759658354
CIRCOR International,CEO,3,-0.7402210864477201
CIRCOR International,Operator,1,0.2477305819555347
CIRCOR International,Operator,2,0.38778034056148136
CIRCOR International,Operator,3,-0.635510922517038
CWC Energy Services Corp.,Analyst,1,0.6300286508010858
CWC Energy Services Corp.,Analyst,2,-0.7850880677018921
CWC Energy Services Corp.,Analyst,3,0.15505941690079916
CWC Energy Services Corp.,CEO,1,1.3534154829118732
CWC Energy Services Corp.,CEO,2,-0.7543080532514674
CWC Energy Services Corp.,CEO,3,-0.5991074296604224
CalAmp Corp.,Analyst,1,0.6261616330459212
CalAmp Corp.,Analyst,2,-0.7831530978757761
CalAmp Corp.,Analyst,3,0.15699146482984808
CalAmp Corp.,CEO,1,1.4139212097129337
CalAmp Corp.,CEO,2,-0.7277346805219123
CalAmp Corp.,CEO,3,-0.6861865291910382
CalAmp Corp.,CFO,1,0.6464265675257388
CalAmp Corp.,CFO,2,-0.2656429827608254
CalAmp Corp.,CFO,3,-0.38078358476492413
CalAmp Corp.,CTO,1,-0.08692455587999806
CalAmp Corp.,CTO,2,-0.27190976870743144
CalAmp Corp.,CTO,3,0.35883432458740844
CalAmp Corp.,IR,1,0.25649085358892143
CalAmp Corp.,IR,2,-0.7205465959580081
CalAmp Corp.,IR,3,0.4640557423690774
CalAmp Corp.,Operator,1,0.24550036022966845
CalAmp Corp.,Operator,2,0.3967919032551793
CalAmp Corp.,Operator,3,-0.6422922634848696
CalAmp Corp.,President,1,-0.012752590845031574
CalAmp Corp.,President,2,-0.6223765701571131
CalAmp Corp.,President,3,0.635129161002139
Callon Petroleum Co.,Analyst,1,0.6167540431403841
Callon Petroleum Co.,Analyst,2,-0.7764911972842444
Callon Petroleum Co.,Analyst,3,0.15973715414385328
Callon Petroleum Co.,CEO,1,1.414173367665271
Callon Petroleum Co.,CEO,2,-0.731624973131844
Callon Petroleum Co.,CEO,3,-0.6825483945334436
Callon Petroleum Co.,CFO,1,0.6911612886277463
Callon Petroleum Co.,CFO,2,-0.3038201209503799
Callon Petroleum Co.,CFO,3,-0.38734116767737675
Callon Petroleum Co.,CTO,1,-0.11533081783289635
Callon Petroleum Co.,CTO,2,-0.272002815735986
Callon Petroleum Co.,CTO,3,0.38733363356886086
Callon Petroleum Co.,IR,1,0.24315118597422483
Callon Petroleum Co.,IR,2,-0.7153506191279128
Callon Petroleum Co.,IR,3,0.47219943315367874
Callon Petroleum Co.,Operator,1,0.2526471080012012
Callon Petroleum Co.,Operator,2,0.368835446664366
Callon Petroleum Co.,Operator,3,-0.6214825546655893
Callon Petroleum Co.,President,1,-0.013252866993937379
Callon Petroleum Co.,President,2,-0.6257266624825265
Callon Petroleum Co.,President,3,0.6389795294764581
Cambridge Bancorp,Analyst,1,0.6154150509289616
Cambridge Bancorp,Analyst,2,-0.7763138814872796
Cambridge Bancorp,Analyst,3,0.16089883055831097
Cambridge Bancorp,CEO,1,1.500857743593011
Cambridge Bancorp,CEO,2,-0.6991162276188995
Cambridge Bancorp,CEO,3,-0.8017415159741282
Cano Petroleum,Analyst,1,0.5778069326472726
Cano Petroleum,Analyst,2,-0.7521435271443155
Cano Petroleum,Analyst,3,0.1743365944970358
Cano Petroleum,Operator,1,0.2401495620848918
Cano Petroleum,Operator,2,0.4186013162628487
Cano Petroleum,Operator,3,-0.6587508783477622
Carrols Restaurant Group,Analyst,1,0.6032229515635616
Carrols Restaurant Group,Analyst,2,-0.7685336397957109
Carrols Restaurant Group,Analyst,3,0.16531068823214212
Carrols Restaurant Group,CEO,1,1.3792899669214551
Carrols Restaurant Group,CEO,2,-0.7436279082198813
Carrols Restaurant Group,CEO,3,-0.6356620587015906
Carrols Restaurant Group,Operator,1,0.2528191075605586
Carrols Restaurant Group,Operator,2,0.3674907824466133
Carrols Restaurant Group,Operator,3,-0.6203098900071939
Centamin Plc,Analyst,1,0.612176154800721
Centamin Plc,Analyst,2,-0.7732847883184713
Centamin Plc,Analyst,3,0.16110863351774327
Centamin Plc,CEO,1,1.3712661440221736
Centamin Plc,CEO,2,-0.7487884127768706
Centamin Plc,CEO,3,-0.6224777312453197
Centamin Plc,CFO,1,0.6527206579677953
Centamin Plc,CFO,2,-0.2762939158712464
Centamin Plc,CFO,3,-0.3764267420965594
Centamin Plc,COO,1,-0.6047025029465715
Centamin Plc,COO,2,-0.5480639251524908
Centamin Plc,COO,3,1.1527664280990675
Centamin Plc,Chair,1,-0.2126307936025798
Centamin Plc,Chair,2,0.1455719200048152
Centamin Plc,Chair,3,0.06705887359773684
Centamin Plc,Head,1,-0.6691774836919648
Centamin Plc,Head,2,0.06915001281200699
Centamin Plc,Head,3,0.6000274708799563
Centamin Plc,IR,1,0.21896990928596236
Centamin Plc,IR,2,-0.7057966314669952
Centamin Plc,IR,3,0.48682672218102374
Centamin Plc,Operator,1,0.24915675493091466
Centamin Plc,Operator,2,0.3840003378513625
Centamin Plc,Operator,3,-0.6331570927822991
Cineworld Group Plc,Analyst,1,0.5880958846056412
Cineworld Group Plc,Analyst,2,-0.7585599758610931
Cineworld Group Plc,Analyst,3,0.1704640912554447
Cineworld Group Plc,CEO,1,1.4375514991595375
Cineworld Group Plc,CEO,2,-0.724510320203326
Cineworld Group Plc,CEO,3,-0.7130411789562284
Cineworld Group Plc,CTO,1,-0.11243997076568191
Cineworld Group Plc,CTO,2,-0.27208400961211476
Cineworld Group Plc,CTO,3,0.38452398037777513
Cloud Peak Energy,Analyst,1,0.64060188936448
Cloud Peak Energy,Analyst,2,-0.7919176811477273
Cloud Peak Energy,Analyst,3,0.15131579178324045
Cloud Peak Energy,CEO,1,1.240294535879541
Cloud Peak Energy,CEO,2,-0.7959035044127083
Cloud Peak Energy,CEO,3,-0.4443910314668491
Cloud Peak Energy,CFO,1,0.6238237099232843
Cloud Peak Energy,CFO,2,-0.2516849806658923
Cloud Peak Energy,CFO,3,-0.37213872925740293
Cloud Peak Energy,IR,1,0.16079158394477822
Cloud Peak Energy,IR,2,-0.6801457552513077
Cloud Peak Energy,IR,3,0.5193541713065203
Cloud Peak Energy,Operator,1,0.2524313791657942
Cloud Peak Energy,Operator,2,0.3697372859414715
Cloud Peak Energy,Operator,3,-0.6221686651072877
Cloud Peak Energy,President,1,0.016323385748135945
Cloud Peak Energy,President,2,-0.6615870957754012
Cloud Peak Energy,President,3,0.6452637100272588
Cobalt International Energy,Analyst,1,0.6474944048932882
Cobalt International Energy,Analyst,2,-0.796020033987614
Cobalt International Energy,Analyst,3,0.14852562909431888
Cobalt International Energy,CEO,1,1.3638438172319827
Cobalt International Energy,CEO,2,-0.7501764084283535
