company_id,role,risk_bucket,a_mij
CDC Corp.,Operator,risk_legal,0.2433298230171203
CDC Corp.,Operator,risk_constraint,0.2245698422193527
CDC Corp.,Operator,risk_external,0.2995164394378662
CIRCOR International,Analyst,risk_uncertainty,0.2509922087192535
CIRCOR International,Analyst,risk_legal,0.2449953407049179
CIRCOR International,Analyst,risk_constraint,0.2361993640661239
CIRCOR International,Analyst,risk_external,0.2678130567073822
CIRCOR International,CEO,risk_uncertainty,0.2734090685844421
CIRCOR International,CEO,risk_legal,0.2970222234725952
CIRCOR International,CEO,risk_constraint,0.2737142443656921
CIRCOR International,CEO,risk_external,0.1558544635772705
CIRCOR International,Operator,risk_uncertainty,0.2427379935979843
CIRCOR International,Operator,risk_legal,0.2390181869268417
CIRCOR International,Operator,risk_constraint,0.22805917263031
CIRCOR International,Operator,risk_external,0.2901846766471863
CWC Energy Services Corp.,Analyst,risk_uncertainty,0.2123730778694152
CWC Energy Services Corp.,Analyst,risk_legal,0.2328266352415084
CWC Energy Services Corp.,Analyst,risk_constraint,0.2193429172039032
CWC Energy Services Corp.,Analyst,risk_external,0.3354573249816894
CWC Energy Services Corp.,CEO,risk_uncertainty,0.2280289232730865
CWC Energy Services Corp.,CEO,risk_legal,0.2479545027017593
CWC Energy Services Corp.,CEO,risk_constraint,0.2365583926439285
CWC Energy Services Corp.,CEO,risk_external,0.2874581813812256
CalAmp Corp.,Analyst,risk_uncertainty,0.2461891323328018
CalAmp Corp.,Analyst,risk_legal,0.2244595736265182
CalAmp Corp.,Analyst,risk_constraint,0.2209129333496093
CalAmp Corp.,Analyst,risk_external,0.3084383308887481
CalAmp Corp.,CEO,risk_uncertainty,0.2866325974464416
CalAmp Corp.,CEO,risk_legal,0.2519930303096771
CalAmp Corp.,CEO,risk_constraint,0.2481381148099899
CalAmp Corp.,CEO,risk_external,0.2132362872362136
CalAmp Corp.,CFO,risk_uncertainty,0.2421607077121734
CalAmp Corp.,CFO,risk_legal,0.2307032197713852
CalAmp Corp.,CFO,risk_constraint,0.227644145488739
CalAmp Corp.,CFO,risk_external,0.2994919121265411
CalAmp Corp.,CTO,risk_uncertainty,0.2524044811725616
CalAmp Corp.,CTO,risk_legal,0.2200958430767059
CalAmp Corp.,CTO,risk_constraint,0.2255052328109741
CalAmp Corp.,CTO,risk_external,0.3019944429397583
CalAmp Corp.,IR,risk_uncertainty,0.2536403834819793
CalAmp Corp.,IR,risk_legal,0.2526038885116577
CalAmp Corp.,IR,risk_constraint,0.2493895590305328
CalAmp Corp.,IR,risk_external,0.24436616897583
CalAmp Corp.,Operator,risk_uncertainty,0.2563255429267883
CalAmp Corp.,Operator,risk_legal,0.244954377412796
CalAmp Corp.,Operator,risk_constraint,0.2365576028823852
CalAmp Corp.,Operator,risk_external,0.2621625661849975
CalAmp Corp.,President,risk_uncertainty,0.250348150730133
CalAmp Corp.,President,risk_legal,0.2324966341257095
CalAmp Corp.,President,risk_constraint,0.2277990132570266
CalAmp Corp.,President,risk_external,0.2893561720848083
Callon Petroleum Co.,Analyst,risk_uncertainty,0.2306136339902877
Callon Petroleum Co.,Analyst,risk_legal,0.2372188866138458
Callon Petroleum Co.,Analyst,risk_constraint,0.2346560359001159
Callon Petroleum Co.,Analyst,risk_external,0.2975114583969116
Callon Petroleum Co.,CEO,risk_uncertainty,0.264451801776886
Callon Petroleum Co.,CEO,risk_legal,0.2744171917438507
Callon Petroleum Co.,CEO,risk_constraint,0.2492933720350265
Callon Petroleum Co.,CEO,risk_external,0.2118376195430755
Callon Petroleum Co.,CFO,risk_uncertainty,0.2423289269208908
Callon Petroleum Co.,CFO,risk_legal,0.2546824514865875
Callon Petroleum Co.,CFO,risk_constraint,0.2478099167346954
Callon Petroleum Co.,CFO,risk_external,0.2551787197589874
Callon Petroleum Co.,CTO,risk_uncertainty,0.2579453289508819
Callon Petroleum Co.,CTO,risk_legal,0.2624754011631012
Callon Petroleum Co.,CTO,risk_constraint,0.2498971372842788
Callon Petroleum Co.,CTO,risk_external,0.2296821773052215
Callon Petroleum Co.,IR,risk_uncertainty,0.238412469625473
Callon Petroleum Co.,IR,risk_legal,0.2515356540679931
Callon Petroleum Co.,IR,risk_constraint,0.253783106803894
Callon Petroleum Co.,IR,risk_external,0.2562687695026397
Callon Petroleum Co.,Operator,risk_uncertainty,0.2069460749626159
Callon Petroleum Co.,Operator,risk_legal,0.2298082858324051
Callon Petroleum Co.,Operator,risk_constraint,0.2170418798923492
Callon Petroleum Co.,Operator,risk_external,0.3462037742137909
Callon Petroleum Co.,President,risk_uncertainty,0.2263351827859878
Callon Petroleum Co.,President,risk_legal,0.2540905177593231
Callon Petroleum Co.,President,risk_constraint,0.2431589365005493
Callon Petroleum Co.,President,risk_external,0.2764153778553009
